(1, 9)
(1, 10)
(1, 18)
(1, 19)
(1, 15)
(1, 5)
(1, 14)
(1, 8)
(1, 12)
(1, 13)
(1, 3)
(1, 17)
(2, 20)
(2, 14)
(2, 10)
(2, 7)
(2, 6)
(2, 9)
(2, 11)
(2, 15)
(2, 19)
(2, 8)
(3, 9)
(3, 8)
(3, 7)
(3, 19)
(3, 17)
(3, 12)
(3, 10)
(3, 11)
(3, 15)
(3, 20)
(4, 5)
(4, 12)
(4, 10)
(4, 13)
(4, 17)
(4, 19)
(4, 16)
(4, 8)
(4, 18)
(4, 6)
(5, 11)
(5, 16)
(5, 12)
(5, 8)
(6, 19)
(6, 12)
(6, 16)
(6, 7)
(6, 18)
(6, 9)
(6, 8)
(6, 17)
(6, 15)
(7, 15)
(7, 19)
(7, 10)
(7, 13)
(7, 8)
(7, 14)
(8, 13)
(8, 9)
(8, 17)
(8, 12)
(8, 11)
(9, 17)
(9, 12)
(9, 13)
(10, 13)
(10, 18)
(10, 15)
(10, 12)
(10, 19)
(10, 14)
(10, 20)
(11, 16)
(11, 13)
(11, 12)
(11, 20)
(11, 18)
(12, 13)
(12, 20)
(12, 16)
(12, 17)
(12, 14)
(13, 15)
(13, 17)
(14, 15)
(14, 17)
(14, 18)
(15, 20)
(16, 18)
(16, 19)
(17, 19)
(17, 20)
(17, 18)
(18, 20)
(18, 19)
(19, 20)
