(1, 13)
(1, 5)
(1, 6)
(1, 2)
(1, 8)
(1, 11)
(2, 13)
(2, 15)
(2, 18)
(2, 11)
(2, 16)
(2, 20)
(2, 7)
(2, 6)
(2, 14)
(3, 7)
(3, 10)
(3, 9)
(3, 15)
(3, 5)
(3, 16)
(3, 4)
(3, 8)
(4, 14)
(4, 18)
(4, 12)
(4, 5)
(5, 8)
(5, 19)
(5, 13)
(5, 6)
(5, 11)
(5, 17)
(5, 20)
(5, 15)
(6, 7)
(6, 17)
(7, 15)
(7, 11)
(7, 9)
(7, 19)
(7, 14)
(7, 8)
(7, 13)
(7, 10)
(7, 17)
(8, 19)
(8, 9)
(8, 15)
(8, 17)
(8, 10)
(8, 18)
(9, 18)
(9, 10)
(9, 13)
(9, 15)
(9, 17)
(10, 17)
(10, 15)
(10, 18)
(10, 20)
(11, 19)
(11, 17)
(12, 14)
(13, 15)
(13, 20)
(13, 18)
(13, 19)
(14, 20)
(14, 19)
(15, 18)
(15, 16)
(15, 20)
(16, 17)
(16, 19)
(17, 20)
(17, 18)
(18, 20)
(18, 19)
(19, 20)
