(1, 20)
(1, 7)
(1, 19)
(1, 13)
(1, 18)
(1, 17)
(1, 10)
(1, 12)
(1, 14)
(1, 8)
(2, 15)
(2, 11)
(2, 6)
(2, 10)
(2, 5)
(2, 14)
(2, 19)
(2, 12)
(2, 13)
(2, 20)
(2, 3)
(2, 18)
(3, 6)
(3, 20)
(3, 7)
(3, 11)
(3, 16)
(3, 5)
(3, 8)
(3, 9)
(3, 12)
(4, 14)
(4, 7)
(4, 9)
(4, 15)
(4, 17)
(4, 5)
(4, 16)
(4, 6)
(4, 18)
(4, 11)
(4, 12)
(5, 6)
(5, 10)
(5, 19)
(5, 16)
(5, 12)
(5, 7)
(5, 18)
(5, 9)
(5, 13)
(5, 20)
(5, 11)
(6, 11)
(6, 17)
(6, 7)
(6, 9)
(6, 20)
(6, 14)
(6, 18)
(7, 16)
(7, 13)
(7, 8)
(7, 19)
(7, 9)
(7, 14)
(7, 15)
(7, 11)
(7, 10)
(7, 17)
(7, 12)
(8, 19)
(8, 10)
(8, 14)
(8, 12)
(8, 9)
(8, 11)
(8, 20)
(9, 17)
(9, 13)
(9, 15)
(9, 19)
(9, 14)
(9, 11)
(9, 16)
(10, 14)
(10, 11)
(10, 13)
(10, 15)
(11, 20)
(11, 18)
(11, 15)
(11, 14)
(11, 16)
(11, 13)
(12, 18)
(12, 15)
(12, 20)
(12, 17)
(12, 19)
(12, 13)
(13, 14)
(13, 19)
(13, 20)
(13, 18)
(14, 17)
(14, 18)
(14, 20)
(14, 16)
(14, 15)
(14, 19)
(15, 16)
(15, 18)
(16, 20)
(16, 18)
(17, 20)
(17, 19)
(18, 20)
(18, 19)
(19, 20)
